production_budget,worldwide_gross,title_year,aspect_ratio,duration.1,cast_total_facebook_likes,budget,imdb_score,opening_gross,screens
135000000,237177349,2016,2.35,112,8306,135000000,6.3,165685,33
135000000,157956466,2011,2.35,100,62644,135000000,5.9,21237068,3606
132000000,606836535,2005,1.85,116,12758,132000000,6.5,77061953,3908
132000000,367650911,2014,1.85,92,19963,132000000,6.7,25447444,3764
130000000,864868047,2013,2.35,146,49355,130000000,7.6,161125000,4163
130000000,796688549,2004,2.35,142,33284,130000000,7.8,93687367,3855
130000000,442161562,2007,2.35,115,17369,110000000,8.1,69283690,3660
130000000,631910531,2008,2.35,92,12754,130000000,7.6,60239130,4114
130000000,518602163,2015,1.85,117,5730,130000000,7.4,57225526,3856
130000000,554987477,2011,2.35,90,5046,130000000,6.7,34077439,3952
130000000,321887208,2010,2.35,95,46120,130000000,7.3,46016833,3944
130000000,273271982,2003,2.35,147,12954,130000000,6.6,46522560,3186
130000000,493738435,2014,2.35,101,1031,103000000,6.4,39327869,3948
130000000,290650494,2010,2.35,101,12406,110000000,6.4,36011243,3612
130000000,251499665,2013,2.35,100,14168,130000000,4.9,27520040,3401
130000000,215080810,2008,2.35,165,921,130000000,6.6,14800723,2642
130000000,79072464,2013,2.35,96,31549,130000000,5.6,12691415,2852
127500000,356148063,2000,1.85,82,2945,127500000,6.5,38854851,3257
127000000,356546621,2014,1.85,98,53587,127000000,6.2,17100520,3785
125000000,766652288,2014,2.35,123,81385,125000000,6.7,121897634,4151
125000000,974755371,2001,2.35,159,13191,125000000,7.5,90294621,3672
125000000,634954103,2003,2.35,143,48184,140000000,8.1,46630690,3269
125000000,767820459,2006,2.35,174,16008,125000000,6.6,77073388,3735
125000000,629969804,2011,2.35,132,55345,125000000,7.3,86198765,3644
125000000,535663443,2011,2.35,129,22403,125000000,7.5,39637079,3703
125000000,556319450,2004,2.35,124,20553,125000000,6.4,85807341,3425
125000000,399005706,2012,2.35,124,24098,130000000,7,51050101,3396
125000000,280355920,2012,2.35,135,12175,125000000,6.7,38142825,3745
125000000,238317814,1997,1.85,125,2699,125000000,3.7,42872606,2934
125000000,61698899,1999,2.35,102,1815,85000000,6.6,10267756,2306
123000000,345141403,2000,1.85,110,4146,123000000,6,55082330,3127
120000000,328711434,2000,2.35,130,2684,140000000,6.4,41325042,3407
120000000,288215319,2007,2.35,92,15302,130000000,5.6,58051684,3959
120000000,607987022,2012,1.85,127,2121,120000000,8,22451514,2927
120000000,229545589,2007,2.35,123,14017,110000000,5.2,52022908,3619
120000000,200421835,2016,2.35,123,13752,120000000,7.1,60000000,4026
120000000,227200000,2003,2.35,107,4046,120000000,4.8,37634221,3459
120000000,286192091,2013,2.35,109,17689,115000000,6.6,29807393,3284
120000000,287916633,2013,2.35,124,22004,120000000,7,37054485,3783
120000000,166000000,2002,1.85,77,2682,120000000,5.4,15115152,3255
120000000,107212751,2004,2.35,134,17159,105000000,6.7,24289165,2757
120000000,93394462,2008,2.35,135,902,120000000,6.1,18561337,3606
120000000,49628177,2010,1.85,121,993,120000000,5.3,7484696,2483
117000000,258751370,2010,2.35,117,12731,117000000,6.3,20139985,3098
115000000,1027044677,1999,2.35,136,37723,115000000,6.5,22469932,2655
115000000,848998877,2005,2.35,140,44042,113000000,7.6,108435841,3661
115000000,656695615,2002,1.78,142,42990,115000000,6.7,80027814,3161
115000000,559757719,2001,1.85,92,15013,115000000,8.1,5040000,2618
115000000,416456852,2013,2.35,138,23755,120000000,6.7,53113752,3924
115000000,178200000,1997,2.35,108,1569,116000000,5.8,18479435,2657
115000000,164602163,2016,2.35,120,46719,115000000,6.1,19445035,3791
115000000,77628265,2002,2.35,153,15046,115000000,6,14520412,2898
112000000,232017848,2010,2.35,85,1173,112000000,4.9,6307691,2546
110000000,716392705,2013,2.35,91,87,100000000,7.8,55785112,3575
110000000,486124090,2005,2.35,126,22722,120000000,6.5,50342878,3424
110000000,469590832,2015,2.35,114,16718,110000000,6.1,54588173,3777
110000000,563749323,2011,1.78,103,692,110000000,5.5,35611637,3395
110000000,382288147,2007,2.35,129,13961,110000000,7.2,33369559,3408
110000000,362989076,2004,2.35,125,19359,110000000,6.4,39153380,3290
110000000,339504276,1997,2.35,119,2958,110000000,6.5,25143007,2807
110000000,215300000,2000,2.35,142,19454,110000000,7.1,22413710,3061
110000000,330780051,2014,2.35,102,10583,110000000,6.2,45038460,3470
110000000,208370892,2004,2.35,170,34582,110000000,7.5,858021,40
110000000,229155503,2011,2.35,119,13391,120000000,5.8,33526876,3584
110000000,263880341,2011,2.35,127,22254,110000000,7.1,27319677,3440
110000000,348547523,2013,1.85,105,914,105000000,5.4,17548389,3866
110000000,152364370,2009,2.35,106,19906,100000000,6.4,23373102,3
110000000,89737191,2013,2.35,114,12908,110000000,6.7,27017351,3407
110000000,76482461,2004,1.78,76,13607,110000000,5.4,13880771,3047
110000000,150468000,1997,2.35,121,2027,160000000,3.7,16158942,2615
109000000,887217688,2001,2.35,171,22342,93000000,8.8,66114741,3359
109000000,133818283,2003,1.85,82,2762,109000000,3.8,38329160,3464
109000000,87683966,2001,2.35,165,14196,107000000,6.8,10216625,2446
108000000,640055863,2015,2.35,151,14831,108000000,8.1,54308575,3831
105000000,348629585,2004,2.35,115,12068,120000000,7.1,52179887,3420
105000000,298815224,1999,1.85,84,3382,133000000,5.9,15018223,2878
105000000,270997378,2009,1.85,97,2480,105000000,7.1,786190,2
105000000,10364769,2001,1.85,104,3133,90000000,4.4,3029858,2222
103300000,232643008,2000,2.35,127,29069,90000000,6.5,25336048,3006
103000000,457683805,2000,2.35,171,6521,103000000,8.5,34819017,2938
102500000,212282709,2009,2.35,140,64599,100000000,7,25271675,3334
102000000,358824714,2002,2.35,145,12546,102000000,7.7,35677125,3001
102000000,130673154,2012,2.35,172,22686,102000000,7.5,9612247,2008
100000000,878979634,2002,2.35,174,35672,100000000,7.4,88357488,3682
100000000,331323410,2004,2.35,131,13679,100000000,6.9,35142554,3017
100000000,449948323,2012,2.35,165,40978,100000000,8.5,30688000,3010
100000000,310650574,2010,1.85,98,24082,100000000,5.5,30833665,3536
100000000,267985456,2007,1.85,176,20354,100000000,7.8,43565135,3054
100000000,236827677,2009,2.35,90,1227,100000000,7,30304648,3119
100000000,170936470,2010,2.35,116,20233,100000000,6.7,35543162,3651
100000000,391976723,2013,2.35,240,46057,100000000,8.2,18361578,2557
100000000,262794441,2013,2.35,102,14552,100000000,6.7,33531068,3882
100000000,234400000,1996,2.35,115,3454,100000000,6.1,24566446,2410
100000000,169296573,2000,1.66,78,2039,100000000,7.3,9812302,2801
100000000,311979256,2012,2.35,103,57881,92000000,6.7,28591370,3316
100000000,99123656,2009,2.35,101,1738,100000000,6.8,32695407,3735
100000000,249488115,2006,2.35,104,4487,100000000,5.1,23239907,3020
100000000,212026975,1999,2.35,121,3903,83000000,5.7,20523595,2593
100000000,96221971,2004,1.85,93,13748,90000000,5.2,21406781,3057
100000000,145395745,2007,1.85,85,25590,100000000,6.8,17640249,3528
100000000,139716717,2010,2.35,101,4286,80000000,7,16112211,3575
100000000,121100000,1997,1.85,129,2031,105000000,7.2,22058773,2971
100000000,69548641,2009,1.85,102,10552,100000000,5.4,18837350,3521
100000000,82145379,2004,2.35,87,3144,100000000,3.3,16728411,3117
100000000,209461378,2014,2.35,131,52610,90000000,6.1,15879645,3221
100000000,91800000,2002,1.5,95,26940,140000000,7.1,12083248,3227
100000000,97523020,2010,2.35,115,13761,100000000,6.9,14309295,3003
100000000,103039258,2014,2.35,119,54031,100000000,6.3,10886386,3455
100000000,59918422,2005,1.85,94,1195,84000000,2.2,7511675,2966
100000000,13835130,1997,1.85,110,1722,10000000,7.3,124011,7
100000000,7094995,2002,1.85,95,6161,100000000,3.8,2182900,2320
99000000,244778411,2015,1.85,88,309,99000000,7.2,44213073,3897
98000000,435040395,2001,2.35,130,15972,98000000,6.3,68139035,3401
